nat	lev	percV	sd_V	sd_C	VarcoV	VarcoC	nPVI-V	rPVI-C
can	ne	0.27	0.03	0.05	50.6	42.64	35.71	0.03
can	ne	0.24	0.03	0.1	49.5	47.13	90.48	0.2
can	ne	0.3	0.03	0.08	45.51	52.28	75.87	0.14
can	ne	0.67	0.33	0.09	146.75	64.37	99.54	0.12
can	ne	0.09	0.01	0.07	25	27.22	50	0.09
can	ne	0.25	0.01	0.05	17.68	26.67	35.29	0.07
can	ne	0.75	0.59	0.08	119.92	47.25	140.78	0.11
can	ne	0.25	0.03	0.06	41.42	35.13	54.38	0.07
can	ne	0.3	0.01	0.06	4	20.69	8	0.12
can	ne	0.41	0.08	0.03	76.93	17	87.41	0.03
can	ne	0.23	0.03	0.04	41.18	21.49	82.35	0.05
can	ne	0.76	0.53	0.04	151.64	32.14	98.12	0.07
can	ne	0.87	0.83	0.04	82.18	31.03	164.36	0.09
can	ne	0.38	0.06	0.07	54.36	45.85	83.93	0.09
can	ne	0.08	0	0.08	0	37.52	0	0.17
can	ne	0.78	0.73	0.06	156.99	42.48	99.94	0.08
can	ne	0.15	0.01	0.07	26.73	36.57	42.42	0.09
can	ne	0.25	0.03	0.07	45.78	37.77	88.42	0.15
can	ne	0.17	0.03	0.02	47.14	5.79	42.86	0.02
can	ne	0.25	0.03	0.03	64.79	21.4	46.67	0.03
can	ne	0.26	0.04	0.11	58.08	58.7	75.22	0.08
can	ne	0.23	0.02	0.06	37.65	30.45	52.22	0.08
can	ne	0.17	0.01	0.07	22.01	35.43	34.97	0.07
can	ne	0.2	0.01	0.05	31.14	29.79	50.74	0.03
can	ne	0.2	0	0.07	8.84	43.18	9.09	0.07
can	ne	0.82	0.88	0.04	179.59	48.55	86.94	0.06
can	ne	0.43	0.26	0.12	155.51	66.35	58.67	0.16
can	ne	0.4	0.04	0.06	33.33	43.45	66.67	0.11
can	ne	0.35	0.06	0.08	31.43	48.14	62.86	0.12
can	ne	0.32	0.01	0.08	8.33	60.08	16.67	0.09
can	ne	0.24	0	0.05	4.76	29.95	9.52	0.06
can	ne	0.29	0.03	0.05	21.74	28.18	43.48	0.07
can	ne	0.26	0.04	0.04	33.33	26.15	66.67	0.09
can	ne	0.22	0.02	0.09	31.94	53.95	37.41	0.12
can	ne	0.26	0.02	0.03	31.62	26.49	45.13	0.04
can	ne	0.29	0.07	0.07	66.71	34.9	73.33	0.1
can	ne	0.26	0.04	0.07	56.24	44.1	55.7	0.14
can	ne	0.33	0.04	0.06	40	44.84	80	0.11
can	ne	0.27	0	0.1	0	55.48	0	0.15
usa	ne	0.25	0.01	0.06	35.29	65.83	34.14	0.05
usa	ne	0.21	0.02	0.03	37.24	33.06	11.94	0.04
usa	ne	0.93	3.32	0.04	169.95	46.89	82.47	0.06
usa	ne	0.95	2.76	0.03	192	47.14	76.8	0.05
usa	ne	0.93	2.92	0.04	190.54	53.99	78.1	0.04
usa	ne	0.19	0.01	0.02	24.74	17.32	33.33	0.03
usa	ne	0.87	2.43	0.1	233.93	78.07	73.23	0.12
usa	ne	0.34	0.05	0.08	44.16	50.84	82.47	0.14
usa	ne	0.84	2.28	0.08	231.32	65.68	77.15	0.1
usa	ne	0.85	1.91	0.04	249.32	42.79	66.54	0.06
usa	ne	0.4	0.07	0.05	69.93	51.85	58.6	0.06
usa	ne	0.19	0.04	0.39	47.79	100.94	74.93	0.34
